Player,Nationality,Position,Club,Age,Born,90s,SCA,SCA/90,SCA (PassLive),SCA (PassDead),SCA (TO),SCA(Sh),SCA(Fld),SCA(Def),GCA,GCA/90,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def)
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,17,4.07,9,0,4,2,2,0,2,0.48,0,0,2,0,0,0.0
Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,20,1.9,17,0,0,3,0,0,3,0.29,1,0,0,2,0,0.0
Nathan Aké, NED,DF,Manchester City,27,1995,6.8,7,1.04,6,0,0,0,0,1,1,0.15,1,0,0,0,0,0.0
David Alaba, AUT,DF,Real Madrid,30,1992,7.9,13,1.64,8,4,1,0,0,0,1,0.13,0,1,0,0,0,0.0
Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,7,4.32,7,0,0,0,0,0,2,1.23,2,0,0,0,0,0.0
Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,12,2.67,11,1,0,0,0,0,1,0.22,1,0,0,0,0,0.0
Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,19,3.61,14,1,1,1,0,2,4,0.76,3,0,0,0,0,1.0
Ronald Araújo, URU,DF,Barcelona,23,1999,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,3.6,17,4.72,15,2,0,0,0,0,3,0.83,3,0,0,0,0,0.0
Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,4,2.12,4,0,0,0,0,0,1,0.53,1,0,0,0,0,0.0
Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,23,3.29,20,0,2,0,1,0,4,0.57,4,0,0,0,0,0.0
Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,36,4.35,31,0,3,2,0,0,4,0.48,3,0,1,0,0,0.0
Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,4,1.31,3,0,0,0,1,0,1,0.33,0,0,0,0,1,0.0
Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,20,3.78,15,0,2,3,0,0,1,0.19,1,0,0,0,0,0.0
