Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,2,11,3,27.3,2.63,0.72,0.18,0.67,16.9,0,0,0,1.8,1.8,0.16,0.2,0.2,
Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,1,7,4,57.1,0.67,0.38,0.14,0.25,16.4,0,0,0,0.9,0.9,0.13,0.1,0.1,
Nathan Aké, NED,DF,Manchester City,27,1995,6.8,0,4,1,25.0,0.59,0.15,0.0,0.0,15.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,
David Alaba, AUT,DF,Real Madrid,30,1992,7.9,0,5,3,60.0,0.63,0.38,0.0,0.0,23.9,3,0,0,0.3,0.3,0.05,-0.3,-0.3,
Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,1,3,1,33.3,0.67,0.22,0.33,1.0,13.3,0,0,0,1.0,1.0,0.34,0.0,0,
Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,3,14,6,42.9,2.66,1.14,0.21,0.5,13.7,0,0,0,2.4,2.4,0.17,0.6,0.6,
Ronald Araújo, URU,DF,Barcelona,23,1999,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,11.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,3.6,3,12,5,41.7,3.33,1.39,0.25,0.6,18.8,0,0,0,0.9,0.9,0.08,2.1,2.1,
Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,0,1,0,0.0,0.53,0.0,0.0,,30.7,0,0,0,0.0,0.0,0.01,0.0,0,
Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,0,1,1,100.0,0.5,0.5,0.0,0.0,19.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,4,11,4,36.4,1.57,0.57,0.36,1.0,14.6,0,0,0,1.3,1.3,0.12,2.7,2.7,
Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,4,35,18,51.4,4.23,2.18,0.11,0.22,14.7,0,0,0,5.1,5.1,0.15,-1.1,-1.1,
Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,1,12,3,25.0,2.27,0.57,0.08,0.33,19.0,1,0,0,0.8,0.8,0.07,0.2,0.2,
Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,0,2,0,0.0,0.62,0.0,0.0,,13.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,
Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,0,4,1,25.0,0.5,0.12,0.0,0.0,19.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,
Emre Can, GER,MF,Dortmund,28,1994,6.3,0,6,2,33.3,0.96,0.32,0.0,0.0,30.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,
João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
João Cancelo, POR,DF,Manchester City,28,1994,4.2,0,8,2,25.0,1.91,0.48,0.0,0.0,25.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,
Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,0,2,0,0.0,0.21,0.0,0.0,,18.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,
Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,0,2,2,100.0,2.09,2.09,0.0,0.0,14.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,
El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
