,Player,Nationality,Position,Club,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp%,Thr,AvgLen,AvgLen.1,Opp,Stp%,#OPA/90,AvgDist
0,Antonio Adán, ESP,GK,Sporting CP,35,1987,4.2,5,1,0,1,0,6.1,0.24,1.1,0.25,20.3,29,30.5,37,82,11,0.71,9.2
1,Alisson, BRA,GK,Liverpool,29,1992,8,12,1,0,0,0,12.6,0.4,0.6,0.08,54.9,36,26.5,31.6,56,12.5,1.25,17.4
2,Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9,8,0,0,1,0,9.6,0.3,1.6,0.18,29.8,50,30,44.2,88,6.8,1.11,17.3
3,Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,11,2,0,3,0,10.2,0.3,-0.8,-0.13,31,24,25.6,26.8,83,6,0.68,14.5
4,Yassine Bounou, MAR,GK,Sevilla,31,1991,4,12,0,0,1,0,9.2,0.38,-2.8,-0.71,40.4,17,28.5,43.6,53,11.3,1,11.4
5,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6,21,0,1,2,1,17.7,0.42,-2.3,-0.38,38.8,30,32.5,34.6,82,4.9,1.33,17.2
6,Diogo Costa, POR,GK,Porto,22,1999,8,8,1,0,1,1,10.7,0.18,3.7,0.46,38.1,44,36.1,46.7,117,7.7,1,13.6
7,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10,11,0,1,2,0,16.5,0.3,5.5,0.55,27.7,71,30,42.9,134,6.7,0.5,11.5
8,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2,0,0,0,0,0,0.9,0.22,0.9,0.44,20.7,6,32.7,48.6,20,10,0,7.8
9,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8,10,1,0,2,1,10.1,0.26,1.1,0.13,31,41,25.1,23.7,99,2,1,13.3
10,Ederson, BRA,GK,Manchester City,28,1993,11,4,1,0,2,0,6.5,0.19,2.5,0.23,46.9,45,29.6,43.4,88,4.5,0.82,16.2
11,Fraser Forster, ENG,GK,Tottenham,34,1988,2,1,0,0,0,0,2,0.4,1,0.51,33.3,16,26.6,26,17,0,1.5,25
12,Kamil Grabara, POL,GK,FC Copenhagen,23,1999,4,9,1,0,1,1,8.9,0.23,0.9,0.23,30.5,17,35.3,53.8,54,11.1,0.75,13.1
13,Ivo Grbić, CRO,GK,Atlético Madrid,26,1996,1,2,0,0,0,0,1.8,0.36,-0.2,-0.22,28.6,5,33.3,57.4,11,0,0,9.3
14,Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,2.1,6,0,0,0,0,4.2,0.52,-1.8,-0.86,10,10,25.4,19.2,9,11.1,0.47,17.8
15,Joe Hart, ENG,GK,Celtic,35,1987,6,15,2,0,0,0,13.3,0.4,-1.7,-0.28,41.2,32,24.5,25.3,59,0,1,19.3
16,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6,8,2,0,1,0,7,0.17,-1,-0.17,37.9,28,30.8,32.7,91,5.5,0.33,10
17,Franco Israel, URU,GK,Sporting CP,22,2000,1.7,4,1,0,1,0,4.5,0.48,0.5,0.31,31.6,11,32.4,50.2,23,8.7,0,5.3
18,Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,2,0,0,0,0,5.5,0.24,3.5,1.01,29.3,13,29.2,28.3,48,4.2,1.14,11.9
19,Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6,9,0,0,2,0,9.4,0.31,0.4,0.07,39.7,11,42.4,39.9,89,2.2,1.33,16.2
20,Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6,11,3,0,0,1,12.5,0.27,2.5,0.41,30.9,27,35.7,41.3,101,3,0.5,10.8
21,Hugo Lloris, FRA,GK,Tottenham,35,1986,6,6,0,0,3,0,7.9,0.36,1.9,0.31,52.6,30,27.5,25.9,79,7.6,2.17,17.2
22,Pau López, ESP,GK,Marseille,27,1994,6,8,0,0,1,0,5.4,0.27,-2.6,-0.43,32.1,20,32.8,37.6,44,6.8,1.83,17
23,Andriy Lunin, UKR,GK,Real Madrid,23,1999,2,2,0,0,0,0,2.1,0.42,0.1,0.04,0,9,16.4,15.4,13,7.7,1.5,20.5
24,Mike Maignan, FRA,GK,Milan,27,1995,7,6,0,0,2,0,7.5,0.24,1.5,0.21,51.9,33,31.4,41.8,107,7.5,1.43,14.1
25,Player,N,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp%,Thr,AvgLen,AvgLen,Opp,Stp%,#OPA/90,AvgDist
26,Allan McGregor, SCO,GK,Rangers,40,1982,5,18,2,1,2,0,15.7,0.31,-2.3,-0.46,29,20,35.7,48.1,55,1.8,1.2,20.2
27,Jon McLaughlin, SCO,GK,Rangers,34,1987,1,4,0,0,1,0,2.5,0.27,-1.5,-1.54,33.3,5,31.3,39.8,12,8.3,1,15.3
28,Edouard Mendy, SEN,GK,Chelsea,30,1992,1,1,0,0,0,0,0.9,0.43,-0.1,-0.14,66.7,3,27.5,13.7,7,14.3,2,22.7
29,Alex Meret, ITA,GK,Napoli,25,1997,10,8,1,0,2,0,11.4,0.33,3.4,0.34,44.7,48,24.8,21,129,5.4,1.1,13.6
30,Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,5,1,0,1,0,5.5,0.27,0.5,0.11,45.5,17,29.4,34.7,73,5.5,2,20.6
31,Simon Mignolet, BEL,GK,Club Brugge,34,1988,8,11,2,0,0,0,15.1,0.31,4.1,0.51,51.6,30,37,40.3,112,5.4,0.63,9.6
32,Manuel Neuer, GER,GK,Bayern Munich,36,1986,3,0,0,0,0,0,1.8,0.2,1.8,0.61,37.5,14,33.2,24.6,28,0,0,0
33,Jan Oblak, SVN,GK,Atlético Madrid,29,1993,5,7,1,0,0,0,8.1,0.32,1.1,0.22,31,22,31.2,44.6,42,7.1,0.8,14.5
34,André Onana, CMR,GK,Inter,26,1996,13,11,0,0,2,1,17.6,0.31,7.6,0.58,44,63,34,40.4,196,7.1,0.23,10.1
35,Stefan Ortega, GER,GK,Manchester City,29,1992,2,1,0,0,1,0,1.1,0.18,0.1,0.04,60,6,21.3,26.9,5,20,2.5,23.1
