,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
0,André Onana, CMR,GK,Inter,26,1996,13.0,2,0,0,0,2,0,0,0,0,0,0,0
1,Sandro Tonali, ITA,MF,Milan,22,2000,11.7,3,0,0,13,18,2,47,4,13,1,0,0
2,Rúben Dias, POR,DF,Manchester City,25,1997,11.7,2,0,0,8,1,0,2,7,18,0,0,0
3,Lautaro Martínez, ARG,FW,Inter,24,1997,11.1,3,0,0,15,18,8,3,9,12,0,0,0
4,Rodri, ESP,MF,Manchester City,26,1996,11.1,1,0,0,13,6,0,3,13,15,0,0,0
5,İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,4,0,0,6,17,0,8,7,8,0,0,0
6,Nicolò Barella, ITA,MF,Inter,25,1997,11.0,3,0,0,17,13,3,21,2,14,0,0,0
7,Ederson, BRA,GK,Manchester City,28,1993,11.0,2,0,0,0,1,0,0,0,0,0,0,0
8,Alessandro Bastoni, ITA,DF,Inter,23,1999,10.9,2,0,0,13,7,0,22,9,8,0,0,0
9,Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,1,0,0,11,28,6,21,1,7,0,0,0
10,Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,0,0,0,10,5,1,20,14,7,0,0,0
11,Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,2,0,0,9,5,0,1,9,16,0,1,0
12,Theo Hernández, FRA,DF,Milan,24,1997,10.5,2,0,0,13,23,2,20,6,16,0,0,0
13,Olivier Giroud, FRA,FW,Milan,35,1986,10.4,1,0,0,12,8,9,2,2,6,0,0,0
14,Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,1,0,0,12,32,0,21,4,5,0,0,0
15,Francesco Acerbi, ITA,DF,Inter,34,1988,10.2,1,0,0,6,9,1,1,11,8,0,0,0
16,Henrikh Mkhitaryan, ARM,MF,Inter,33,1989,10.1,2,0,0,14,12,2,8,16,17,0,0,0
17,Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,2,0,0,19,13,1,19,9,10,0,0,0
18,Rafael Leão, POR,"FW,MF",Milan,23,1999,10.1,0,0,0,11,17,1,25,3,2,2,0,0
19,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,0,0,0,0,0,0,0,0,1,0,0,0
20,Álex Grimaldo, ESP,DF,Benfica,26,1995,10.0,0,0,0,3,5,1,27,13,10,0,0,0
21,Alex Meret, ITA,GK,Napoli,25,1997,10.0,0,0,0,0,3,0,0,0,0,0,0,0
22,Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10.0,0,0,0,0,0,0,0,0,0,0,0,0
23,Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,9.9,2,0,0,12,9,0,23,12,10,0,0,0
24,António Silva, POR,DF,Benfica,18,2003,9.9,1,0,0,6,2,0,0,14,7,0,1,0
25,Denzel Dumfries, NED,DF,Inter,26,1996,9.8,0,0,0,14,22,5,21,8,6,0,0,0
26,Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,3,0,0,10,10,1,20,7,11,0,0,0
27,Stanislav Lobotka, SVK,MF,Napoli,27,1994,9.7,0,0,0,8,24,0,2,5,11,0,0,0
28,João Mário, POR,FW,Benfica,29,1993,9.6,2,0,0,8,9,1,25,5,8,0,1,0
29,Florentino Luís, POR,MF,Benfica,22,1999,9.5,2,0,0,12,1,0,1,27,15,0,0,0
