,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
0,Liel Abada,ISR,"FW,MF",Celtic,20,2001,2.4,66.1,136,91.2,46.7,0.0,0,0.5,0.6,-0.5,4,1,3,1,4
1,Oliver Abildgaard,DEN,MF,Celtic,26,1996,0.7,72.7,121,83.3,81.3,50.0,0,0.0,0.0,0.0,0,0,0,0,2
2,Mohammad Abu Fani,ISR,MF,Maccabi Haifa,24,1998,4.4,86.1,732,87.4,89.0,90.3,0,0.6,0.7,-0.6,9,22,7,0,29
3,Francesco Acerbi,ITA,DF,Inter,34,1988,10.2,87.5,3420,89.5,92.7,63.2,0,0.1,0.1,-0.1,1,31,0,0,29
4,Marcos Acuña,ARG,"DF,MF",Sevilla,30,1991,2.4,69.1,533,84.8,76.9,35.0,1,0.2,0.1,0.8,4,4,4,2,5
5,Junior Adamu,AUT,FW,RB Salzburg,21,2001,2.3,52.1,110,52.0,61.5,0.0,1,0.4,0.2,0.6,2,2,2,2,1
6,Antonio Adán,ESP,GK,Sporting CP,35,1987,4.2,69.9,1688,100.0,95.3,35.1,0,0.0,0.0,0.0,0,0,0,0,0
7,Arijan Ademi,MKD,MF,Dinamo Zagreb,31,1991,5.2,83.0,364,87.5,87.5,100.0,0,0.1,0.1,-0.1,3,8,1,0,10
8,Karim Adeyemi,GER,"FW,MF",Dortmund,20,2002,4.2,76.2,241,91.2,70.4,60.0,0,1.1,0.7,-1.1,7,4,1,0,9
9,Amine Adli,FRA,"FW,MF",Leverkusen,22,2000,1.3,68.8,170,64.7,86.4,50.0,0,0.3,0.4,-0.3,2,2,4,1,6
10,Manuel Akanji,SUI,DF,Manchester City,27,1995,10.5,91.8,4176,95.8,94.7,74.2,0,0.4,0.7,-0.4,4,55,2,0,44
11,Nathan Aké,NED,DF,Manchester City,27,1995,6.8,91.5,3327,97.1,91.6,79.6,0,0.3,0.4,-0.3,2,72,2,1,54
12,David Alaba,AUT,DF,Real Madrid,30,1992,7.9,87.0,2043,93.6,87.8,42.9,0,0.6,1.4,-0.6,8,23,3,2,19
13,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,33.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
14,Jordi Alba,ESP,DF,Barcelona,33,1989,1.6,88.5,848,94.1,89.7,52.6,1,0.6,1.0,0.4,5,22,5,2,19
15,Thiago Alcántara,ESP,MF,Liverpool,31,1991,3.4,88.4,1265,89.9,92.5,81.6,0,0.5,0.9,-0.5,3,36,6,0,30
16,Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,6.9,76.7,3245,91.7,79.3,50.4,0,1.2,1.9,-1.2,14,38,18,8,52
17,Sotiris Alexandropoulos,GRE,MF,Sporting CP,20,2001,1.3,78.6,83,85.7,92.3,25.0,0,0.0,0.0,0.0,0,2,0,0,3
18,Faride Alidou,GER,"DF,FW",Eint Frankfurt,21,2001,0.8,84.2,73,89.5,84.6,75.0,0,0.1,0.0,-0.1,3,1,1,1,0
19,Alisson,BRA,GK,Liverpool,29,1992,8.0,88.3,3991,100.0,97.4,71.1,0,0.0,0.0,0.0,0,6,0,0,0
20,Marcos Alonso,ESP,DF,Barcelona,31,1990,4.5,90.0,2357,93.3,93.8,74.4,0,0.9,1.1,-0.9,8,33,6,4,26
21,Éder Álvarez Balanta,COL,"MF,FW",Club Brugge,29,1993,0.6,76.5,53,75.0,71.4,100.0,0,0.0,0.0,0.0,1,1,1,0,1
22,Edson Álvarez,MEX,MF,Ajax,24,1997,5.9,85.7,1458,87.9,94.8,57.5,0,0.1,0.1,-0.1,2,28,2,0,14
23,Julián Álvarez,ARG,FW,Manchester City,22,2000,5.3,80.8,245,89.3,85.7,60.0,2,1.0,0.6,1.0,8,7,4,2,9
24,Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,1.4,79.7,232,94.7,80.0,50.0,1,0.5,0.1,0.5,3,4,2,0,6
25,Robert Andrich,GER,MF,Leverkusen,27,1994,4.5,85.0,716,88.6,87.2,65.0,0,0.1,0.2,-0.1,2,15,2,0,14
26,Peter Ankersen,DEN,DF,FC Copenhagen,31,1990,0.3,50.0,21,75.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
27,Ofri Arad,ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,90.9,55,100.0,66.7,0.0,0,0.0,0.0,0.0,0,1,0,0,1
28,Charles Aránguiz,CHI,MF,Leverkusen,33,1989,2.4,94.8,697,100.0,95.5,81.3,0,0.1,0.2,-0.1,3,13,1,0,15
29,Henrique Araújo,POR,FW,Benfica,20,2002,0.1,62.5,9,66.7,75.0,0.0,0,0.1,0.0,-0.1,2,0,1,0,1
30,Ronald Araújo,URU,DF,Barcelona,23,1999,1.0,85.5,397,72.2,100.0,72.7,0,0.0,0.0,0.0,0,4,0,0,6
31,Scott Arfield,CAN,MF,Rangers,33,1988,3.0,67.8,224,75.0,75.0,66.7,0,0.0,0.1,0.0,1,4,0,0,7
32,Hákon Arnar Haraldsson,ISL,FW,FC Copenhagen,19,2003,3.3,79.0,167,86.5,89.3,40.0,0,0.2,0.1,-0.2,1,3,1,0,7
