,Player,Nationality,Position,Club,Age,Born,Mn/MP,Mn/Start,Compl,Mn/Sub,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,xG+/-,xG+/-90
0,Liel Abada, ISR,"FW,MF",Celtic,20,2001,43.0,53.0,0,5.0,0,0.4,1.0,5.0,0.29,4.0,5.3,-1.2,-0.52
1,Oliver Abildgaard, DEN,MF,Celtic,26,1996,32.0,0.0,0,32.0,3,0.0,2.0,2.0,2.08,0.6,2.3,-1.7,-2.45
2,Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,67.0,80.0,2,40.0,0,1.18,4.0,19.0,-4.02,4.3,7.7,-3.3,-0.75
3,Francesco Acerbi, ITA,DF,Inter,34,1988,77.0,90.0,10,11.0,1,2.0,16.0,7.0,1.24,16.0,10.2,5.8,0.57
4,Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,55.0,68.0,1,14.0,1,1.0,4.0,5.0,0.99,1.9,5.1,-3.3,-1.35
5,Junior Adamu, AUT,FW,RB Salzburg,21,2001,34.0,71.0,0,16.0,0,1.0,2.0,5.0,-1.06,3.9,3.6,0.3,0.12
6,Antonio Adán, ESP,GK,Sporting CP,35,1987,76.0,76.0,4,0.0,0,1.4,8.0,5.0,2.99,3.4,5.4,-2.0,-0.47
7,Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,79.0,79.0,2,0.0,0,1.42,4.0,9.0,1.65,3.4,8.7,-5.3,-1.02
8,Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,63.0,75.0,1,3.0,0,1.5,6.0,3.0,0.46,6.2,7.2,-1.0,-0.24
9,Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,30.0,56.0,0,22.0,0,0.5,0.0,3.0,-2.02,2.5,3.5,-1.0,-0.72
10,Adrián, ESP,GK,Liverpool,35,1987,0.0,0.0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Manuel Akanji, SUI,DF,Manchester City,27,1995,86.0,90.0,10,45.0,1,2.09,24.0,4.0,-0.9,20.0,8.8,11.2,1.06
12,Nathan Aké, NED,DF,Manchester City,27,1995,76.0,86.0,6,3.0,3,2.0,15.0,2.0,-0.32,11.7,6.7,5.0,0.74
13,Ilias Akhomach, ESP,FW,Barcelona,18,2004,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,David Alaba, AUT,DF,Real Madrid,30,1992,65.0,74.0,5,23.0,0,2.09,16.0,9.0,-0.58,15.3,12.5,2.8,0.36
15,Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,10.0,0.0,0,10.0,6,1.5,0.0,1.0,-3.86,0.4,0.4,0.0,0.12
16,Jordi Alba, ESP,DF,Barcelona,33,1989,73.0,73.0,1,0.0,4,3.0,8.0,2.0,5.07,4.1,2.5,1.6,1.01
17,Thiago Alcántara, ESP,MF,Liverpool,31,1991,61.0,85.0,0,26.0,0,2.4,9.0,1.0,2.57,7.6,1.3,6.2,1.82
18,Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,89.0,89.0,5,0.0,0,1.71,11.0,11.0,-6.63,11.5,10.1,1.4,0.2
19,Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,40.0,0.0,0,40.0,3,1.0,2.0,1.0,1.17,0.6,2.5,-1.9,-1.41
20,Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,15.0,0.0,0,15.0,3,1.2,1.0,1.0,0.83,0.8,2.0,-1.2,-1.47
21,Alisson, BRA,GK,Liverpool,29,1992,90.0,90.0,8,0.0,0,1.88,19.0,12.0,0.0,14.7,10.6,4.1,0.51
22,Connor Allan, SCO,MF,Rangers,18,2004,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Marcos Alonso, ESP,DF,Barcelona,31,1990,81.0,81.0,3,0.0,0,0.8,5.0,10.0,-4.4,7.1,7.5,-0.4,-0.1
24,Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,13.0,0.0,0,13.0,1,1.75,0.0,0.0,0.4,0.5,1.8,-1.3,-2.37
25,Carlos Álvarez, ESP,FW,Sevilla,18,2003,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Edson Álvarez, MEX,MF,Ajax,24,1997,89.0,89.0,4,0.0,0,1.0,11.0,16.0,-0.85,8.3,12.2,-3.8,-0.65
27,Julián Álvarez, ARG,FW,Manchester City,22,2000,47.0,90.0,4,19.0,3,2.4,15.0,1.0,0.98,12.2,3.0,9.2,1.74
28,Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,25.0,90.0,1,8.0,1,1.0,2.0,3.0,-0.08,1.7,3.4,-1.7,-1.24
29,Robert Andrich, GER,MF,Leverkusen,27,1994,81.0,81.0,3,0.0,0,1.0,4.0,4.0,2.71,6.5,4.7,1.8,0.39
30,Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,25.0,0.0,0,25.0,3,1.5,0.0,1.0,-1.85,0.4,1.1,-0.7,-2.47
31,Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,11.0,0.0,0,11.0,4,0.75,0.0,3.0,-10.36,0.2,0.7,-0.6,-2.43
32,Charles Aránguiz, CHI,MF,Leverkusen,33,1989,54.0,71.0,1,2.0,0,0.75,0.0,5.0,-2.37,4.3,2.4,1.9,0.79
33,Henrique Araújo, POR,FW,Benfica,20,2002,9.0,0.0,0,9.0,4,3.0,2.0,0.0,18.89,0.4,0.0,0.4,4.17
